Sampleid	Name	Age	Filtered	Algae	Group
Sample01	C2M1	5	yes	chlorella_s	1
Sample02	C2M2	5	yes	chlorella_s	1
Sample03	C2M3	5	no	chlorella_s	1
Sample04	C2M4	5	no	chlorella_s	1
Sample05	C2M5	5	yes	selenastrum	2
Sample06	C2M6	5	yes	selenastrum	2
Sample07	C2M7	5	no	selenastrum	2
Sample08	C2M8	5	no	selenastrum	2
Sample09	C2M1	30	yes	chlorella_s	3
Sample10	C2M2	30	yes	chlorella_s	3
Sample11	C2M3	30	no	chlorella_s	3
Sample12	C2M4	30	no	chlorella_s	3
Sample13	C2M5	30	yes	selenastrum	4
Sample14	C2M6	30	yes	selenastrum	4
Sample15	C2M7	30	no	selenastrum	4
Sample16	C2M8	30	no	selenastrum	4
Sample17	Raw_waste	na	na	na	na
